first_day_out,last_day,base_close,lowest_pct,days_to_low,date_of_low,highest_pct,days_to_high,date_of_high,one_year_pct,data_days,truncated,qqq_same_window_pct,excess_vs_qqq_pct,ticker,fetch_ticker,removal_date,source
2025-05-19,2026-05-20,189.01,-2.12,2,2025-05-21,133.11,160,2026-01-07,74.14,253,False,37.28,36.86,MDB,MDB,2025-05-19,yfinance
2025-11-06,2026-06-11,44.9372,-7.97,8,2025-11-18,96.92,128,2026-05-13,80.63,149,True,17.54,63.09,SOLS,SOLS,2025-11-06,yfinance
2025-12-22,2026-06-11,56.37,-4.17,4,2025-12-29,137.59,111,2026-06-03,105.71,118,True,15.96,89.75,ON,ON,2025-12-22,yfinance
2025-12-22,2026-06-11,212.37,-46.21,113,2026-06-05,1.65,9,2026-01-06,-42.63,118,True,15.96,-58.59,LULU,LULU,2025-12-22,yfinance
2025-12-22,2026-06-11,36.42,-4.12,6,2025-12-31,147.01,105,2026-05-26,121.69,118,True,15.96,105.73,GFS,GFS,2025-12-22,yfinance
2025-12-22,2026-06-11,137.9916,-28.46,96,2026-05-12,2.82,32,2026-02-09,-6.42,118,True,15.96,-22.38,CDW,CDW,2025-12-22,yfinance
2025-12-22,2026-06-11,174.7,-5.88,17,2026-01-16,17.07,97,2026-05-13,14.46,118,True,15.96,-1.5,BIIB,BIIB,2025-12-22,yfinance
2025-12-22,2026-06-11,37.29,-49.32,117,2026-06-11,7.56,8,2026-01-05,-49.32,118,True,15.96,-65.28,TTD,TTD,2025-12-22,yfinance
2026-01-09,2026-06-11,34.0614,-20.31,23,2026-02-12,30.44,86,2026-05-14,17.7,106,True,14.58,3.12,VSNT,VSNT,2026-01-09,yfinance
2026-01-20,2026-06-11,178.024,-0.98,93,2026-06-03,17.19,21,2026-02-19,2.39,100,True,18.08,-15.69,AZN,AZN,2026-01-20,yfinance
2026-04-20,2026-06-11,71.48,-5.4,3,2026-04-23,62.21,29,2026-06-01,24.79,38,True,10.87,13.92,TEAM,TEAM,2026-04-20,yfinance
2026-05-18,2026-06-11,33.2,-3.01,8,2026-05-29,3.1,16,2026-06-10,-1.66,18,True,1.59,-3.25,CSGP,CSGP,2026-05-18,yfinance
